"Open-7";"Open-6";"Open-5";"Open-4";"Open-3";"Open-2";"Open-1";"Open-0";"High-7";"High-6";"High-5";"High-4";"High-3";"High-2";"High-1";"High-0";"Low-7";"Low-6";"Low-5";"Low-4";"Low-3";"Low-2";"Low-1";"Low-0";"Close-7";"Close-6";"Close-5";"Close-4";"Close-3";"Close-2";"Close-1";"Close-0";"Date";"label"
7.7891;7.43911;7.49124;7.40188;7.42422;7.29763;6.98487;6.99977;7.84867;7.54336;7.62528;7.52847;7.4689;7.61783;7.23061;7.037;7.60294;7.39443;7.38699;7.34231;7.27529;7.26784;6.96998;6.73169;7.61783;7.54336;7.44656;7.49124;7.27529;7.54336;7.04444;6.90296;"2014-09-30";6.69446
7.43911;7.49124;7.40188;7.42422;7.29763;6.98487;6.99977;6.80615;7.54336;7.62528;7.52847;7.4689;7.61783;7.23061;7.037;6.82849;7.39443;7.38699;7.34231;7.27529;7.26784;6.96998;6.73169;6.6051;7.54336;7.44656;7.49124;7.27529;7.54336;7.04444;6.90296;6.69446;"2014-10-01";6.86573
7.49124;7.40188;7.42422;7.29763;6.98487;6.99977;6.80615;6.73169;7.62528;7.52847;7.4689;7.61783;7.23061;7.037;6.82849;6.98487;7.38699;7.34231;7.27529;7.26784;6.96998;6.73169;6.6051;6.67956;7.44656;7.49124;7.27529;7.54336;7.04444;6.90296;6.69446;6.86573;"2014-10-02";7.01466
7.40188;7.42422;7.29763;6.98487;6.99977;6.80615;6.73169;6.91785;7.52847;7.4689;7.61783;7.23061;7.037;6.82849;6.98487;7.05189;7.34231;7.27529;7.26784;6.96998;6.73169;6.6051;6.67956;6.86573;7.49124;7.27529;7.54336;7.04444;6.90296;6.69446;6.86573;7.01466;"2014-10-03";7.47634
7.42422;7.29763;6.98487;6.99977;6.80615;6.73169;6.91785;7.80399;7.4689;7.61783;7.23061;7.037;6.82849;6.98487;7.05189;7.95292;7.27529;7.26784;6.96998;6.73169;6.6051;6.67956;6.86573;7.43911;7.27529;7.54336;7.04444;6.90296;6.69446;6.86573;7.01466;7.47634;"2014-10-06";7.49868
7.29763;6.98487;6.99977;6.80615;6.73169;6.91785;7.80399;7.60294;7.61783;7.23061;7.037;6.82849;6.98487;7.05189;7.95292;7.66996;7.26784;6.96998;6.73169;6.6051;6.67956;6.86573;7.43911;7.43167;7.54336;7.04444;6.90296;6.69446;6.86573;7.01466;7.47634;7.49868;"2014-10-07";7.40933
6.98487;6.99977;6.80615;6.73169;6.91785;7.80399;7.60294;7.62528;7.23061;7.037;6.82849;6.98487;7.05189;7.95292;7.66996;7.62528;6.96998;6.73169;6.6051;6.67956;6.86573;7.43911;7.43167;7.23806;7.04444;6.90296;6.69446;6.86573;7.01466;7.47634;7.49868;7.40933;"2014-10-08";7.45401
6.99977;6.80615;6.73169;6.91785;7.80399;7.60294;7.62528;7.52102;7.037;6.82849;6.98487;7.05189;7.95292;7.66996;7.62528;7.59549;6.73169;6.6051;6.67956;6.86573;7.43911;7.43167;7.23806;7.43911;6.90296;6.69446;6.86573;7.01466;7.47634;7.49868;7.40933;7.45401;"2014-10-09";7.16359
6.80615;6.73169;6.91785;7.80399;7.60294;7.62528;7.52102;7.16359;6.82849;6.98487;7.05189;7.95292;7.66996;7.62528;7.59549;7.16359;6.6051;6.67956;6.86573;7.43911;7.43167;7.23806;7.43911;7.16359;6.69446;6.86573;7.01466;7.47634;7.49868;7.40933;7.45401;7.16359;"2014-10-10";7.63272
6.73169;6.91785;7.80399;7.60294;7.62528;7.52102;7.16359;7.45401;6.98487;7.05189;7.95292;7.66996;7.62528;7.59549;7.16359;7.80399;6.67956;6.86573;7.43911;7.43167;7.23806;7.43911;7.16359;7.37954;6.86573;7.01466;7.47634;7.49868;7.40933;7.45401;7.16359;7.63272;"2014-10-13";7.73697
6.91785;7.80399;7.60294;7.62528;7.52102;7.16359;7.45401;7.59549;7.05189;7.95292;7.66996;7.62528;7.59549;7.16359;7.80399;7.85612;6.86573;7.43911;7.43167;7.23806;7.43911;7.16359;7.37954;7.54336;7.01466;7.47634;7.49868;7.40933;7.45401;7.16359;7.63272;7.73697;"2014-10-14";7.44656
7.80399;7.60294;7.62528;7.52102;7.16359;7.45401;7.59549;7.52102;7.95292;7.66996;7.62528;7.59549;7.16359;7.80399;7.85612;7.5657;7.43911;7.43167;7.23806;7.43911;7.16359;7.37954;7.54336;7.15614;7.47634;7.49868;7.40933;7.45401;7.16359;7.63272;7.73697;7.44656;"2014-10-15";7.17848
7.60294;7.62528;7.52102;7.16359;7.45401;7.59549;7.52102;7.1487;7.66996;7.62528;7.59549;7.16359;7.80399;7.85612;7.5657;7.39443;7.43167;7.23806;7.43911;7.16359;7.37954;7.54336;7.15614;7.11891;7.49868;7.40933;7.45401;7.16359;7.63272;7.73697;7.44656;7.17848;"2014-10-16";7.40933
7.62528;7.52102;7.16359;7.45401;7.59549;7.52102;7.1487;7.33486;7.62528;7.59549;7.16359;7.80399;7.85612;7.5657;7.39443;7.46145;7.23806;7.43911;7.16359;7.37954;7.54336;7.15614;7.11891;7.2455;7.40933;7.45401;7.16359;7.63272;7.73697;7.44656;7.17848;7.40933;"2014-10-17";7.26039
7.52102;7.16359;7.45401;7.59549;7.52102;7.1487;7.33486;7.26039;7.59549;7.16359;7.80399;7.85612;7.5657;7.39443;7.46145;7.26039;7.43911;7.16359;7.37954;7.54336;7.15614;7.11891;7.2455;7.26039;7.45401;7.16359;7.63272;7.73697;7.44656;7.17848;7.40933;7.26039;"2014-10-20";6.8136
7.16359;7.45401;7.59549;7.52102;7.1487;7.33486;7.26039;6.8136;7.16359;7.80399;7.85612;7.5657;7.39443;7.46145;7.26039;6.8136;7.16359;7.37954;7.54336;7.15614;7.11891;7.2455;7.26039;6.8136;7.16359;7.63272;7.73697;7.44656;7.17848;7.40933;7.26039;6.8136;"2014-10-21";6.77637
7.45401;7.59549;7.52102;7.1487;7.33486;7.26039;6.8136;6.77637;7.80399;7.85612;7.5657;7.39443;7.46145;7.26039;6.8136;6.94019;7.37954;7.54336;7.15614;7.11891;7.2455;7.26039;6.8136;6.72424;7.63272;7.73697;7.44656;7.17848;7.40933;7.26039;6.8136;6.77637;"2014-10-22";6.47851
7.59549;7.52102;7.1487;7.33486;7.26039;6.8136;6.77637;6.66467;7.85612;7.5657;7.39443;7.46145;7.26039;6.8136;6.94019;6.74658;7.54336;7.15614;7.11891;7.2455;7.26039;6.8136;6.72424;6.43383;7.73697;7.44656;7.17848;7.40933;7.26039;6.8136;6.77637;6.47851;"2014-10-23";6.67212
7.52102;7.1487;7.33486;7.26039;6.8136;6.77637;6.66467;6.55297;7.5657;7.39443;7.46145;7.26039;6.8136;6.94019;6.74658;6.94019;7.15614;7.11891;7.2455;7.26039;6.8136;6.72424;6.43383;6.45617;7.44656;7.17848;7.40933;7.26039;6.8136;6.77637;6.47851;6.67212;"2014-10-24";6.56786
7.1487;7.33486;7.26039;6.8136;6.77637;6.66467;6.55297;6.56786;7.39443;7.46145;7.26039;6.8136;6.94019;6.74658;6.94019;6.56786;7.11891;7.2455;7.26039;6.8136;6.72424;6.43383;6.45617;6.56786;7.17848;7.40933;7.26039;6.8136;6.77637;6.47851;6.67212;6.56786;"2014-10-27";6.82105
